001 l 1 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=47,903,63,104;Augezdecki-01a_PT08_403 l 1 b 1; ※
001 l 1 b 2;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=136,903,70,104;Augezdecki-01a_PT08_403 l 1 b 2; ※
001 l 1 b 3;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=226,903,60,104;Augezdecki-01a_PT08_403 l 1 b 3; ※
001 l 1 b 4;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=310,903,68,104;Augezdecki-01a_PT08_403 l 1 b 4; ※
001 l 1 b 5;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=397,903,75,104;Augezdecki-01a_PT08_403 l 1 b 5; ※
001 l 1 b 6;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=490,903,54,104;Augezdecki-01a_PT08_403 l 1 b 6; ※
001 l 1 b 7;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=561,903,72,104;Augezdecki-01a_PT08_403 l 1 b 7; ※
001 l 1 b 8;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=653,903,65,104;Augezdecki-01a_PT08_403 l 1 b 8; ※
001 l 1 b 9;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=739,903,55,104;Augezdecki-01a_PT08_403 l 1 b 9; ※
001 l 1 b 10;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=817,903,72,104;Augezdecki-01a_PT08_403 l 1 b 10; ※
001 l 1 b 11;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=916,903,66,104;Augezdecki-01a_PT08_403 l 1 b 11; ※
001 l 1 b 12;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1006,903,55,104;Augezdecki-01a_PT08_403 l 1 b 12; ※
001 l 1 b 13;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1081,903,98,104;Augezdecki-01a_PT08_403 l 1 b 13; ※
001 l 1 b 14;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1206,903,68,104;Augezdecki-01a_PT08_403 l 1 b 14; ※
001 l 1 b 15;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1297,903,71,104;Augezdecki-01a_PT08_403 l 1 b 15; ※
001 l 1 b 16;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1395,903,70,104;Augezdecki-01a_PT08_403 l 1 b 16; ※
001 l 1 b 17;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1483,903,69,104;Augezdecki-01a_PT08_403 l 1 b 17; ※
001 l 1 b 18;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1580,903,57,104;Augezdecki-01a_PT08_403 l 1 b 18; ※
001 l 1 b 19;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1659,903,74,104;Augezdecki-01a_PT08_403 l 1 b 19; ※
001 l 1 b 20;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1755,903,64,104;Augezdecki-01a_PT08_403 l 1 b 20; ※
001 l 1 b 21;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1836,903,87,104;Augezdecki-01a_PT08_403 l 1 b 21; ※
001 l 1 b 22;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1945,903,61,104;Augezdecki-01a_PT08_403 l 1 b 22; ※
001 l 1 b 23;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2021,903,68,104;Augezdecki-01a_PT08_403 l 1 b 23; ※
001 l 1 b 24;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2112,903,92,104;Augezdecki-01a_PT08_403 l 1 b 24; ※
001 l 1 b 25;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2242,903,53,104;Augezdecki-01a_PT08_403 l 1 b 25; ※
001 l 1 b 26;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2320,903,58,104;Augezdecki-01a_PT08_403 l 1 b 26; ※
001 l 1 b 27;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2417,903,45,104;Augezdecki-01a_PT08_403 l 1 b 27; ※
001 l 1 b 28;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2496,903,45,104;Augezdecki-01a_PT08_403 l 1 b 28; ※
001 l 2 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=48,730,37,109;Augezdecki-01a_PT08_403 l 2 b 1; ※
001 l 2 b 2;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=108,730,38,109;Augezdecki-01a_PT08_403 l 2 b 2; ※
001 l 2 b 3;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=170,730,36,109;Augezdecki-01a_PT08_403 l 2 b 3; ※
001 l 2 b 4;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=239,730,38,109;Augezdecki-01a_PT08_403 l 2 b 4; ※
001 l 2 b 5;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=305,730,36,109;Augezdecki-01a_PT08_403 l 2 b 5; ※
001 l 2 b 6;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=368,730,34,109;Augezdecki-01a_PT08_403 l 2 b 6; ※
001 l 2 b 7;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=417,730,27,109;Augezdecki-01a_PT08_403 l 2 b 7; ※
001 l 2 b 8;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=473,730,61,109;Augezdecki-01a_PT08_403 l 2 b 8; ※
001 l 2 b 9;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=555,730,64,109;Augezdecki-01a_PT08_403 l 2 b 9; ※
001 l 2 b 10;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=643,730,69,109;Augezdecki-01a_PT08_403 l 2 b 10; ※
001 l 2 b 11;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=745,730,36,109;Augezdecki-01a_PT08_403 l 2 b 11; ※
001 l 2 b 12;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=808,730,33,109;Augezdecki-01a_PT08_403 l 2 b 12; ※
001 l 2 b 13;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=861,730,34,109;Augezdecki-01a_PT08_403 l 2 b 13; ※
001 l 2 b 14;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=912,730,37,109;Augezdecki-01a_PT08_403 l 2 b 14; ※
001 l 2 b 15;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=978,730,25,109;Augezdecki-01a_PT08_403 l 2 b 15; ※
001 l 2 b 16;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1027,730,27,109;Augezdecki-01a_PT08_403 l 2 b 16; ※
001 l 2 b 17;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1075,730,27,109;Augezdecki-01a_PT08_403 l 2 b 17; ※
001 l 2 b 18;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1129,730,35,109;Augezdecki-01a_PT08_403 l 2 b 18; ※
001 l 2 b 19;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1180,730,61,109;Augezdecki-01a_PT08_403 l 2 b 19; ※
001 l 2 b 20;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1252,730,42,109;Augezdecki-01a_PT08_403 l 2 b 20; ※
001 l 2 b 21;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1318,730,39,109;Augezdecki-01a_PT08_403 l 2 b 21; ※
001 l 2 b 22;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1392,730,39,109;Augezdecki-01a_PT08_403 l 2 b 22; ※
001 l 2 b 23;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1455,730,37,109;Augezdecki-01a_PT08_403 l 2 b 23; ※
001 l 2 b 24;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1512,730,42,109;Augezdecki-01a_PT08_403 l 2 b 24; ※
001 l 2 b 25;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1581,730,18,109;Augezdecki-01a_PT08_403 l 2 b 25; ※
001 l 2 b 26;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1634,730,21,109;Augezdecki-01a_PT08_403 l 2 b 26; ※
001 l 2 b 27;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1684,730,19,109;Augezdecki-01a_PT08_403 l 2 b 27; ※
001 l 2 b 28;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1727,730,41,109;Augezdecki-01a_PT08_403 l 2 b 28; ※
001 l 2 b 29;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1797,730,12,109;Augezdecki-01a_PT08_403 l 2 b 29; ※
001 l 2 b 30;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1847,730,26,109;Augezdecki-01a_PT08_403 l 2 b 30; ※
001 l 2 b 31;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1901,730,24,109;Augezdecki-01a_PT08_403 l 2 b 31; ※
001 l 2 b 32;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1946,730,39,109;Augezdecki-01a_PT08_403 l 2 b 32; ※
001 l 2 b 33;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2006,730,42,109;Augezdecki-01a_PT08_403 l 2 b 33; ※
001 l 2 b 34;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2076,730,16,109;Augezdecki-01a_PT08_403 l 2 b 34; ※
001 l 2 b 35;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2129,730,28,109;Augezdecki-01a_PT08_403 l 2 b 35; ※
001 l 2 b 36;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2180,730,58,109;Augezdecki-01a_PT08_403 l 2 b 36; ※
001 l 2 b 37;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2258,730,37,109;Augezdecki-01a_PT08_403 l 2 b 37; ※
001 l 2 b 38;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2305,730,13,109;Augezdecki-01a_PT08_403 l 2 b 38; ※
001 l 2 b 39;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2351,730,63,109;Augezdecki-01a_PT08_403 l 2 b 39; ※
001 l 2 b 40;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2444,730,35,109;Augezdecki-01a_PT08_403 l 2 b 40; ※
001 l 2 b 41;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2505,730,41,109;Augezdecki-01a_PT08_403 l 2 b 41; ※
001 l 3 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=31,571,39,115;Augezdecki-01a_PT08_403 l 3 b 1; ※
001 l 3 b 2;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=96,571,40,115;Augezdecki-01a_PT08_403 l 3 b 2; ※
001 l 3 b 3;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=156,571,42,115;Augezdecki-01a_PT08_403 l 3 b 3; ※
001 l 3 b 4;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=218,571,38,115;Augezdecki-01a_PT08_403 l 3 b 4; ※
001 l 3 b 5;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=280,571,34,115;Augezdecki-01a_PT08_403 l 3 b 5; ※
001 l 3 b 6;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=338,571,55,115;Augezdecki-01a_PT08_403 l 3 b 6; ※
001 l 3 b 7;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=419,571,36,115;Augezdecki-01a_PT08_403 l 3 b 7; ※
001 l 3 b 8;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=479,571,40,115;Augezdecki-01a_PT08_403 l 3 b 8; ※
001 l 3 b 9;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=542,571,46,115;Augezdecki-01a_PT08_403 l 3 b 9; ※
001 l 3 b 10;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=611,571,38,115;Augezdecki-01a_PT08_403 l 3 b 10; ※
001 l 3 b 11;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=679,571,38,115;Augezdecki-01a_PT08_403 l 3 b 11; ※
001 l 3 b 12;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=742,571,28,115;Augezdecki-01a_PT08_403 l 3 b 12; ※
001 l 3 b 13;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=793,571,21,115;Augezdecki-01a_PT08_403 l 3 b 13; ※
001 l 3 b 14;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=839,571,36,115;Augezdecki-01a_PT08_403 l 3 b 14; ※
001 l 3 b 15;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=900,571,30,115;Augezdecki-01a_PT08_403 l 3 b 15; ※
001 l 3 b 16;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=951,571,33,115;Augezdecki-01a_PT08_403 l 3 b 16; ※
001 l 3 b 17;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1001,571,21,115;Augezdecki-01a_PT08_403 l 3 b 17; ※
001 l 3 b 18;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1041,571,37,115;Augezdecki-01a_PT08_403 l 3 b 18; ※
001 l 3 b 19;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1089,571,37,115;Augezdecki-01a_PT08_403 l 3 b 19; ※
001 l 3 b 20;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1139,571,54,115;Augezdecki-01a_PT08_403 l 3 b 20; ※
001 l 3 b 21;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1216,571,47,115;Augezdecki-01a_PT08_403 l 3 b 21; ※
001 l 3 b 22;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1286,571,60,115;Augezdecki-01a_PT08_403 l 3 b 22; ※
001 l 3 b 23;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1358,571,42,115;Augezdecki-01a_PT08_403 l 3 b 23; ※
001 l 3 b 24;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1423,571,42,115;Augezdecki-01a_PT08_403 l 3 b 24; ※
001 l 3 b 25;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1469,571,22,115;Augezdecki-01a_PT08_403 l 3 b 25; ※
001 l 3 b 26;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1517,571,44,115;Augezdecki-01a_PT08_403 l 3 b 26; ※
